inflow_id,sent_date,payment_system,amount,currency,expected_arrival_date,actual_delay_days,from_partner,to_account,status
INF00112,2026-05-12,ACH,20811.66,GBP,2026-05-13,1,"Walker, Rollins and Mcdonald",ACC004,arrived
INF00215,2026-05-12,SEPA,426917.36,EUR,2026-05-13,1,Wyatt PLC,ACC014,in_transit
INF00196,2026-05-13,INSTANT,114588.58,KZT,2026-05-13,0,Turner-Fleming,ACC020,in_transit
INF00061,2026-05-12,SEPA,280225.71,KZT,2026-05-13,1,Hernandez-Stone,ACC002,in_transit
INF00169,2026-05-12,ACH,279565.05,KZT,2026-05-13,1,Saunders Inc,ACC007,in_transit
INF00139,2026-05-13,INSTANT,159193.53,EUR,2026-05-13,0,"Vargas, Rodriguez and Olsen",ACC002,in_transit
INF00158,2026-05-12,SEPA,299081.52,KZT,2026-05-13,1,"Roberson, Leonard and Hernandez",ACC014,in_transit
INF00189,2026-05-12,ACH,435865.31,GBP,2026-05-13,1,"Scott, Cooke and Miller",ACC014,arrived
INF00297,2026-05-12,SEPA,42948.37,KZT,2026-05-13,1,Reyes-Moore,ACC008,delayed
INF00181,2026-05-13,INSTANT,492290.65,GBP,2026-05-13,0,Lopez Inc,ACC013,delayed
INF00185,2026-05-12,SEPA,202053.46,EUR,2026-05-13,1,"Lewis, Ponce and Harris",ACC008,in_transit
INF00148,2026-05-12,SEPA,358789.54,USD,2026-05-13,1,Howell Group,ACC002,in_transit
INF00159,2026-05-12,SEPA,233382.81,USD,2026-05-13,1,Hill Inc,ACC017,in_transit
INF00287,2026-05-12,SEPA,367474.28,EUR,2026-05-13,1,"Davis, Montes and Glover",ACC019,in_transit
INF00164,2026-05-13,INSTANT,382464.22,KZT,2026-05-13,0,Young PLC,ACC016,delayed
INF00227,2026-05-13,ACH,132436.33,EUR,2026-05-14,1,Pearson-Brown,ACC009,in_transit
INF00087,2026-05-14,INSTANT,115983.26,USD,2026-05-14,0,Fletcher LLC,ACC004,in_transit
INF00083,2026-05-13,SEPA,59947.1,KZT,2026-05-14,1,"Munoz, Williams and Cardenas",ACC020,delayed
INF00231,2026-05-13,ACH,114864.13,EUR,2026-05-14,1,Knapp Ltd,ACC002,delayed
INF00079,2026-05-14,INSTANT,156413.08,EUR,2026-05-14,0,Smith Group,ACC002,in_transit
INF00246,2026-05-14,INSTANT,200469.5,USD,2026-05-14,0,Hernandez-Jordan,ACC004,in_transit
INF00066,2026-05-13,ACH,179379.73,EUR,2026-05-14,1,"Garcia, Thompson and Allen",ACC003,in_transit
INF00178,2026-05-13,ACH,440173.5,EUR,2026-05-14,1,"Hansen, Leach and Carter",ACC009,in_transit
INF00179,2026-05-12,SWIFT,21013.64,KZT,2026-05-14,2,Dixon PLC,ACC012,in_transit
INF00136,2026-05-13,SEPA,23838.63,GBP,2026-05-14,1,Ferguson LLC,ACC013,in_transit
INF00095,2026-05-14,INSTANT,183769.08,EUR,2026-05-14,0,Ramos LLC,ACC015,delayed
INF00107,2026-05-14,INSTANT,374580.33,EUR,2026-05-14,0,"Vega, Norris and Smith",ACC013,in_transit
INF00109,2026-05-13,SEPA,424814.85,KZT,2026-05-14,1,"Reyes, Wilson and Manning",ACC010,in_transit
INF00153,2026-05-12,SWIFT,19452.5,KZT,2026-05-14,2,Gutierrez Ltd,ACC016,delayed
INF00204,2026-05-13,SEPA,8483.99,EUR,2026-05-14,1,"Salinas, Bond and Garcia",ACC015,in_transit
INF00122,2026-05-14,INSTANT,484005.68,USD,2026-05-14,0,Meza-Dean,ACC013,in_transit
INF00151,2026-05-12,SWIFT,270977.21,GBP,2026-05-14,2,"Sanders, Manning and Scott",ACC004,in_transit
INF00127,2026-05-14,INSTANT,156076.25,USD,2026-05-14,0,"Newman, Barnes and Garcia",ACC018,in_transit
INF00251,2026-05-13,SEPA,387619.31,EUR,2026-05-14,1,Stanley Ltd,ACC013,arrived
INF00144,2026-05-13,SEPA,18979.38,KZT,2026-05-14,1,"Brown, Franco and Harper",ACC020,in_transit
INF00141,2026-05-13,SEPA,215069.73,KZT,2026-05-14,1,"Gilbert, Meyer and Houston",ACC017,in_transit
INF00191,2026-05-13,SEPA,387847.41,GBP,2026-05-14,1,"Cochran, Howell and Barron",ACC020,in_transit
INF00161,2026-05-13,SEPA,375697.01,USD,2026-05-14,1,"Summers, Nelson and Diaz",ACC019,in_transit
INF00214,2026-05-13,ACH,155580.98,GBP,2026-05-14,1,"Warner, Henderson and Flowers",ACC014,arrived
INF00173,2026-05-13,SEPA,205512.49,USD,2026-05-14,1,Strong-Potts,ACC013,delayed
INF00044,2026-05-14,INSTANT,483319.0,KZT,2026-05-14,0,Walton-Bruce,ACC015,delayed
INF00259,2026-05-13,ACH,372426.36,GBP,2026-05-14,1,Wu-Allen,ACC003,delayed
INF00008,2026-05-13,ACH,417301.14,EUR,2026-05-14,1,"Watson, Serrano and Hudson",ACC012,arrived
INF00049,2026-05-13,ACH,339806.61,GBP,2026-05-14,1,Tyler and Sons,ACC010,delayed
INF00005,2026-05-14,INSTANT,259767.82,USD,2026-05-14,0,Powell and Sons,ACC013,in_transit
INF00283,2026-05-13,ACH,132215.79,EUR,2026-05-14,1,Smith-Graham,ACC010,in_transit
INF00260,2026-05-12,SWIFT,163427.77,GBP,2026-05-14,2,Miller Inc,ACC011,in_transit
INF00289,2026-05-12,SWIFT,5085.44,KZT,2026-05-14,2,Green-Castro,ACC013,in_transit
INF00010,2026-05-14,INSTANT,463760.82,EUR,2026-05-14,0,"Hunter, Mahoney and Martin",ACC001,in_transit
INF00001,2026-05-13,ACH,105241.82,GBP,2026-05-14,1,"Martinez, Welch and Wiley",ACC012,in_transit
INF00030,2026-05-14,INSTANT,47437.85,GBP,2026-05-14,0,Allen and Sons,ACC010,in_transit
INF00017,2026-05-12,SWIFT,89931.81,GBP,2026-05-14,2,Shepard LLC,ACC009,in_transit
INF00028,2026-05-13,ACH,486311.96,KZT,2026-05-14,1,Berg-Johnson,ACC004,delayed
INF00254,2026-05-13,SEPA,266959.37,EUR,2026-05-14,1,Lee Ltd,ACC007,in_transit
INF00055,2026-05-13,SEPA,193075.2,GBP,2026-05-14,1,"Robinson, Woods and Fritz",ACC019,in_transit
INF00147,2026-05-15,INSTANT,118088.1,EUR,2026-05-15,0,Martinez PLC,ACC013,in_transit
INF00146,2026-05-14,SEPA,163790.11,KZT,2026-05-15,1,Dyer Ltd,ACC003,in_transit
INF00042,2026-05-14,ACH,424919.41,EUR,2026-05-15,1,"Nichols, Russell and Garner",ACC015,delayed
INF00039,2026-05-12,SWIFT,296957.47,KZT,2026-05-15,3,Mccoy-Macdonald,ACC019,in_transit
INF00110,2026-05-15,INSTANT,332230.4,KZT,2026-05-15,0,Williams PLC,ACC013,delayed
INF00209,2026-05-15,INSTANT,469662.03,EUR,2026-05-15,0,"Parks, Edwards and Wood",ACC016,in_transit
INF00268,2026-05-14,ACH,153639.48,KZT,2026-05-15,1,"Carlson, Rose and Gray",ACC017,in_transit
INF00040,2026-05-14,SEPA,392944.89,KZT,2026-05-15,1,Chapman-Manning,ACC006,in_transit
INF00205,2026-05-14,ACH,219146.13,USD,2026-05-15,1,"Stanton, Matthews and Reynolds",ACC007,arrived
INF00101,2026-05-15,INSTANT,255646.67,KZT,2026-05-15,0,Collins LLC,ACC011,in_transit
INF00253,2026-05-14,ACH,48373.13,USD,2026-05-15,1,Faulkner-Smith,ACC002,arrived
INF00119,2026-05-14,SEPA,356278.44,USD,2026-05-15,1,"Melton, Price and Mason",ACC013,delayed
INF00036,2026-05-13,SWIFT,439049.93,GBP,2026-05-15,2,"King, Frank and Stone",ACC019,delayed
INF00200,2026-05-14,SEPA,71467.54,GBP,2026-05-15,1,Blackburn-Smith,ACC015,in_transit
INF00270,2026-05-15,INSTANT,19189.4,EUR,2026-05-15,0,Carpenter and Sons,ACC020,arrived
INF00123,2026-05-14,ACH,33656.36,USD,2026-05-15,1,"Salinas, Willis and Durham",ACC014,in_transit
INF00280,2026-05-15,INSTANT,179583.71,KZT,2026-05-15,0,Cameron-Fitzpatrick,ACC014,in_transit
INF00138,2026-05-12,CARD_CLEARING,352793.68,EUR,2026-05-15,3,"Cunningham, Campbell and Ortega",ACC013,delayed
INF00275,2026-05-15,INSTANT,396705.61,GBP,2026-05-15,0,"Rivera, Douglas and Collins",ACC011,arrived
INF00197,2026-05-12,SWIFT,116205.04,USD,2026-05-15,3,Meyer-Reyes,ACC010,in_transit
INF00194,2026-05-15,INSTANT,119960.99,EUR,2026-05-15,0,Haynes Ltd,ACC014,delayed
INF00020,2026-05-12,SWIFT,403102.86,EUR,2026-05-15,3,"Reese, Cole and Mendoza",ACC019,in_transit
INF00184,2026-05-14,ACH,54498.35,EUR,2026-05-15,1,"Burns, Moody and Johnson",ACC007,in_transit
INF00026,2026-05-12,CARD_CLEARING,482202.42,GBP,2026-05-15,3,Mcdowell-Clark,ACC013,in_transit
INF00237,2026-05-15,INSTANT,80836.62,KZT,2026-05-15,0,Duncan-Giles,ACC005,delayed
INF00218,2026-05-14,SEPA,322970.53,KZT,2026-05-15,1,"Mccormick, Reyes and Thomas",ACC010,delayed
INF00219,2026-05-12,SWIFT,494857.01,USD,2026-05-15,3,Anderson Group,ACC020,in_transit
INF00250,2026-05-15,INSTANT,454784.59,KZT,2026-05-15,0,Watson LLC,ACC012,in_transit
INF00295,2026-05-14,SEPA,85846.47,EUR,2026-05-15,1,"Rivera, Brewer and Lee",ACC019,in_transit
INF00166,2026-05-12,SWIFT,295335.62,USD,2026-05-15,3,Williamson-Blake,ACC001,delayed
INF00057,2026-05-14,ACH,284958.12,EUR,2026-05-15,1,Smith PLC,ACC004,delayed
INF00047,2026-05-15,INSTANT,121697.23,USD,2026-05-15,0,Kennedy Ltd,ACC017,in_transit
INF00090,2026-05-14,SEPA,12346.91,GBP,2026-05-15,1,Stewart and Sons,ACC009,in_transit
INF00012,2026-05-12,SWIFT,175403.96,USD,2026-05-15,3,"Calderon, Downs and Taylor",ACC006,delayed
INF00236,2026-05-14,SEPA,88358.94,KZT,2026-05-15,1,Kramer PLC,ACC003,in_transit
INF00245,2026-05-15,INSTANT,228385.17,GBP,2026-05-15,0,Martinez Ltd,ACC002,arrived
INF00084,2026-05-14,SEPA,6123.83,KZT,2026-05-15,1,Arnold Inc,ACC010,arrived
INF00241,2026-05-14,SEPA,154827.99,KZT,2026-05-15,1,"Hughes, Nunez and Gomez",ACC014,in_transit
INF00167,2026-05-15,INSTANT,95686.25,USD,2026-05-15,0,Anderson Inc,ACC012,in_transit
INF00292,2026-05-12,SWIFT,234916.04,EUR,2026-05-15,3,"Wyatt, Wallace and Mcintyre",ACC001,in_transit
INF00277,2026-05-16,INSTANT,492488.4,KZT,2026-05-18,0,Morris-Leonard,ACC001,arrived
INF00278,2026-05-17,ACH,108854.05,USD,2026-05-18,1,"Stevens, Manning and Arias",ACC004,in_transit
INF00174,2026-05-17,INSTANT,45208.71,EUR,2026-05-18,0,"Ramirez, Brown and Campbell",ACC009,in_transit
INF00188,2026-05-17,ACH,445550.77,GBP,2026-05-18,1,Wilkerson Group,ACC006,in_transit
INF00175,2026-05-16,SWIFT,348750.15,GBP,2026-05-18,2,"Flores, Pierce and Johnson",ACC012,delayed
INF00293,2026-05-17,ACH,100079.03,USD,2026-05-18,1,Lopez-Reyes,ACC011,delayed
INF00281,2026-05-13,CARD_CLEARING,199913.54,USD,2026-05-18,5,"Brown, Jordan and Buck",ACC001,in_transit
INF00285,2026-05-17,SEPA,281970.52,EUR,2026-05-18,1,Morrow-Sanders,ACC004,in_transit
INF00187,2026-05-15,ACH,185107.77,EUR,2026-05-18,1,Perez Group,ACC017,in_transit
INF00186,2026-05-15,CARD_CLEARING,306863.02,GBP,2026-05-18,3,Christensen-Barrett,ACC019,arrived
INF00291,2026-05-16,SEPA,462559.72,KZT,2026-05-18,1,Young-Wright,ACC014,in_transit
INF00180,2026-05-14,CARD_CLEARING,373225.76,GBP,2026-05-18,3,Brown PLC,ACC014,in_transit
INF00182,2026-05-17,INSTANT,319086.17,USD,2026-05-18,0,Kelly-Murray,ACC013,in_transit
INF00183,2026-05-16,SEPA,324030.69,EUR,2026-05-18,1,"Acosta, Meyer and Dennis",ACC010,in_transit
INF00286,2026-05-14,CARD_CLEARING,155864.48,USD,2026-05-18,3,Mitchell-Hensley,ACC009,in_transit
INF00284,2026-05-16,INSTANT,443874.42,GBP,2026-05-18,0,Peterson Inc,ACC015,in_transit
INF00176,2026-05-16,ACH,21241.16,KZT,2026-05-18,1,Evans PLC,ACC015,arrived
INF00252,2026-05-15,SWIFT,38990.63,GBP,2026-05-18,3,Ramos Inc,ACC019,in_transit
INF00269,2026-05-15,SWIFT,413738.35,GBP,2026-05-18,3,Brown-Becker,ACC009,in_transit
INF00192,2026-05-17,ACH,121695.32,EUR,2026-05-18,1,Nelson-Anderson,ACC001,in_transit
INF00224,2026-05-16,INSTANT,282269.43,GBP,2026-05-18,0,Elliott Group,ACC006,in_transit
INF00262,2026-05-17,ACH,224845.93,USD,2026-05-18,1,Castillo PLC,ACC006,in_transit
INF00261,2026-05-16,INSTANT,237176.44,GBP,2026-05-18,0,Johnson-West,ACC018,in_transit
INF00230,2026-05-16,ACH,73450.97,GBP,2026-05-18,1,Dawson-Harding,ACC009,in_transit
INF00232,2026-05-13,CARD_CLEARING,71783.98,GBP,2026-05-18,5,Hamilton PLC,ACC008,in_transit
INF00233,2026-05-16,INSTANT,241337.92,EUR,2026-05-18,0,"Sosa, Norris and King",ACC014,in_transit
INF00257,2026-05-14,CARD_CLEARING,370566.41,KZT,2026-05-18,4,"Matthews, Bowers and Smith",ACC020,in_transit
INF00234,2026-05-15,SEPA,365020.02,USD,2026-05-18,1,Clayton-Patrick,ACC017,in_transit
INF00235,2026-05-15,SEPA,115215.48,USD,2026-05-18,1,"Anderson, Anderson and Washington",ACC016,delayed
INF00238,2026-05-15,SEPA,275250.28,USD,2026-05-18,1,"Hines, Burch and Clark",ACC015,delayed
INF00239,2026-05-17,ACH,174213.75,KZT,2026-05-18,1,Hunter-Richmond,ACC017,in_transit
INF00240,2026-05-15,ACH,276818.81,KZT,2026-05-18,1,Miller-Delgado,ACC013,delayed
INF00256,2026-05-17,SEPA,405069.86,USD,2026-05-18,1,Li-Adams,ACC002,delayed
INF00247,2026-05-15,SWIFT,232862.39,EUR,2026-05-18,3,Pacheco PLC,ACC008,delayed
INF00249,2026-05-15,SEPA,353645.95,GBP,2026-05-18,1,Bruce-Palmer,ACC009,in_transit
INF00263,2026-05-15,SEPA,123454.31,EUR,2026-05-18,1,Mcknight-Roman,ACC013,in_transit
INF00190,2026-05-15,ACH,459803.38,USD,2026-05-18,1,Singh Inc,ACC017,delayed
INF00221,2026-05-13,CARD_CLEARING,124937.86,KZT,2026-05-18,4,"Willis, Jimenez and Smith",ACC003,in_transit
INF00264,2026-05-13,CARD_CLEARING,445962.05,EUR,2026-05-18,3,Rowe-Anderson,ACC010,arrived
INF00195,2026-05-15,SWIFT,70382.74,USD,2026-05-18,3,Obrien Group,ACC014,in_transit
INF00273,2026-05-15,SEPA,182215.4,EUR,2026-05-18,1,Strong-Garner,ACC009,in_transit
INF00272,2026-05-17,SEPA,15270.54,GBP,2026-05-18,1,Evans-Morris,ACC005,in_transit
INF00199,2026-05-16,SWIFT,238402.72,KZT,2026-05-18,2,"Hill, Goodman and Simmons",ACC003,in_transit
INF00202,2026-05-13,SWIFT,180540.2,EUR,2026-05-18,3,Graham-Davis,ACC011,in_transit
INF00206,2026-05-13,SWIFT,490409.94,USD,2026-05-18,3,"Sanchez, Nelson and George",ACC013,in_transit
INF00207,2026-05-14,SWIFT,205402.04,USD,2026-05-18,3,Murphy Ltd,ACC016,delayed
INF00208,2026-05-14,SWIFT,395070.34,EUR,2026-05-18,3,Schultz-Martinez,ACC012,arrived
INF00211,2026-05-16,INSTANT,107340.75,EUR,2026-05-18,0,Sloan-Coleman,ACC008,in_transit
INF00267,2026-05-17,SEPA,143826.58,USD,2026-05-18,1,Bowen-Lewis,ACC017,arrived
INF00212,2026-05-13,SWIFT,55777.33,GBP,2026-05-18,3,"Hall, Scott and Long",ACC008,in_transit
INF00213,2026-05-14,SWIFT,491253.12,KZT,2026-05-18,2,Johnson and Sons,ACC004,in_transit
INF00266,2026-05-14,SWIFT,440665.51,KZT,2026-05-18,3,Tucker-Griffith,ACC005,delayed
INF00216,2026-05-13,SWIFT,215180.98,EUR,2026-05-18,3,Gardner PLC,ACC016,delayed
INF00217,2026-05-15,SWIFT,435805.18,KZT,2026-05-18,3,"Harris, Lawrence and Williams",ACC007,in_transit
INF00220,2026-05-17,INSTANT,390813.52,KZT,2026-05-18,0,Sosa-Thompson,ACC014,in_transit
INF00149,2026-05-16,SWIFT,323635.72,EUR,2026-05-18,2,Johnson Group,ACC014,in_transit
INF00299,2026-05-14,CARD_CLEARING,365749.49,KZT,2026-05-18,3,Davies Group,ACC015,delayed
INF00170,2026-05-16,SWIFT,216036.32,KZT,2026-05-18,2,Lucero PLC,ACC008,in_transit
INF00059,2026-05-13,CARD_CLEARING,193092.75,EUR,2026-05-18,5,Neal PLC,ACC014,in_transit
INF00060,2026-05-15,SWIFT,83029.02,KZT,2026-05-18,3,Moore Inc,ACC007,in_transit
INF00063,2026-05-16,SWIFT,160450.84,USD,2026-05-18,2,"Huang, Bailey and Fleming",ACC019,in_transit
INF00065,2026-05-17,SEPA,154524.79,GBP,2026-05-18,1,"Webb, Sanders and Buchanan",ACC012,in_transit
INF00067,2026-05-15,SEPA,28554.75,KZT,2026-05-18,1,"Cook, Wheeler and Diaz",ACC015,in_transit
INF00071,2026-05-15,SEPA,157003.26,KZT,2026-05-18,1,"Bryan, Sharp and Rangel",ACC003,in_transit
INF00073,2026-05-13,CARD_CLEARING,311773.13,GBP,2026-05-18,4,Rodgers Group,ACC018,in_transit
INF00074,2026-05-15,SWIFT,59594.93,KZT,2026-05-18,3,Hodges LLC,ACC012,delayed
INF00056,2026-05-16,ACH,337268.74,EUR,2026-05-18,1,"Ortiz, Garza and Cohen",ACC017,in_transit
INF00075,2026-05-13,CARD_CLEARING,225883.12,GBP,2026-05-18,4,"Davis, Madden and Sanders",ACC020,in_transit
INF00080,2026-05-15,CARD_CLEARING,21106.07,USD,2026-05-18,3,"Lam, Rogers and Carter",ACC015,in_transit
INF00082,2026-05-15,SEPA,278522.28,EUR,2026-05-18,1,"Reid, Huerta and Gomez",ACC005,delayed
INF00085,2026-05-14,SWIFT,230013.98,GBP,2026-05-18,3,"Brooks, Baxter and Small",ACC006,in_transit
INF00086,2026-05-16,INSTANT,197708.16,USD,2026-05-18,0,"Thompson, Montgomery and Stephenson",ACC004,in_transit
INF00088,2026-05-15,SWIFT,83780.21,EUR,2026-05-18,2,"Vaughn, Peters and Hamilton",ACC018,in_transit
INF00089,2026-05-15,ACH,310573.82,EUR,2026-05-18,1,"Sloan, Reid and Clements",ACC020,in_transit
INF00093,2026-05-16,SEPA,53516.23,KZT,2026-05-18,1,"Ibarra, Maldonado and Vasquez",ACC016,in_transit
INF00094,2026-05-17,SEPA,27647.97,KZT,2026-05-18,1,"Simmons, Lynch and Allen",ACC013,in_transit
INF00077,2026-05-13,SWIFT,270846.69,USD,2026-05-18,3,"Mendoza, Hicks and Evans",ACC013,in_transit
INF00053,2026-05-15,SWIFT,199258.52,GBP,2026-05-18,2,Brooks Ltd,ACC017,in_transit
INF00048,2026-05-12,CARD_CLEARING,314492.74,KZT,2026-05-18,4,Davis Ltd,ACC001,in_transit
INF00046,2026-05-16,SEPA,441288.41,USD,2026-05-18,1,Thompson-Velasquez,ACC001,delayed
INF00006,2026-05-17,INSTANT,332898.46,KZT,2026-05-18,0,"Combs, Figueroa and Estrada",ACC013,in_transit
INF00007,2026-05-15,SEPA,453797.18,EUR,2026-05-18,1,"Hudson, Murphy and Simmons",ACC007,in_transit
INF00013,2026-05-15,CARD_CLEARING,125964.02,EUR,2026-05-18,3,Riley-Marks,ACC012,delayed
INF00014,2026-05-16,ACH,57231.16,USD,2026-05-18,1,Ware-Brooks,ACC008,delayed
INF00016,2026-05-13,CARD_CLEARING,32661.32,GBP,2026-05-18,4,"Hill, Sharp and Mitchell",ACC009,in_transit
INF00018,2026-05-17,INSTANT,232763.65,GBP,2026-05-18,0,"Leon, Wang and Hendrix",ACC005,in_transit
INF00019,2026-05-17,SEPA,80155.07,KZT,2026-05-18,1,"Carter, Lindsey and Martin",ACC014,in_transit
INF00021,2026-05-13,CARD_CLEARING,270256.9,EUR,2026-05-18,4,"Patterson, Hernandez and Rodgers",ACC018,delayed
INF00022,2026-05-13,CARD_CLEARING,309571.32,GBP,2026-05-18,4,Daniels PLC,ACC003,delayed
INF00027,2026-05-16,SWIFT,293900.68,EUR,2026-05-18,2,"Rodriguez, Garcia and Long",ACC017,delayed
INF00031,2026-05-14,CARD_CLEARING,91755.94,USD,2026-05-18,4,"Cisneros, Phillips and Wiggins",ACC011,in_transit
INF00032,2026-05-13,CARD_CLEARING,11417.88,EUR,2026-05-18,5,Richard-Diaz,ACC017,in_transit
INF00033,2026-05-16,SEPA,266734.09,USD,2026-05-18,1,Juarez-Johnson,ACC010,in_transit
INF00034,2026-05-16,SEPA,289877.11,GBP,2026-05-18,1,Murray-Rivera,ACC001,delayed
INF00035,2026-05-16,INSTANT,60831.37,EUR,2026-05-18,0,Hunt and Sons,ACC001,delayed
INF00037,2026-05-14,SWIFT,458111.7,EUR,2026-05-18,2,"Elliott, Jackson and Ochoa",ACC010,delayed
INF00038,2026-05-14,SWIFT,313912.75,USD,2026-05-18,2,Collins Inc,ACC014,delayed
INF00041,2026-05-16,SWIFT,351226.69,USD,2026-05-18,2,Wallace PLC,ACC016,in_transit
INF00043,2026-05-13,CARD_CLEARING,103603.75,KZT,2026-05-18,4,Gibson-Hayes,ACC020,in_transit
INF00096,2026-05-14,CARD_CLEARING,48023.29,USD,2026-05-18,4,"Rodriguez, Long and Lawrence",ACC005,arrived
INF00097,2026-05-13,SWIFT,30028.26,GBP,2026-05-18,3,Moran Group,ACC010,in_transit
INF00076,2026-05-17,SEPA,63267.7,KZT,2026-05-18,1,"Chapman, Stephenson and Reeves",ACC018,in_transit
INF00100,2026-05-15,SEPA,54461.58,EUR,2026-05-18,1,Palmer-Perry,ACC015,in_transit
INF00121,2026-05-15,ACH,197314.97,KZT,2026-05-18,1,Moran Group,ACC014,in_transit
INF00124,2026-05-15,SEPA,427223.44,USD,2026-05-18,1,"Rivers, Jones and Barnes",ACC010,arrived
INF00125,2026-05-14,SWIFT,402453.67,GBP,2026-05-18,2,Roberts Group,ACC006,arrived
INF00128,2026-05-15,SEPA,344674.06,USD,2026-05-18,1,Macias-Vazquez,ACC002,in_transit
INF00099,2026-05-17,SEPA,32548.54,GBP,2026-05-18,1,"Estrada, Flores and Miller",ACC012,in_transit
INF00130,2026-05-17,SEPA,31230.18,EUR,2026-05-18,1,"Atkinson, Hernandez and Maldonado",ACC011,in_transit
INF00133,2026-05-14,SWIFT,11216.92,KZT,2026-05-18,3,"Jacobs, Pruitt and Gillespie",ACC003,delayed
INF00137,2026-05-15,SEPA,341352.06,EUR,2026-05-18,1,Williams Group,ACC018,in_transit
INF00140,2026-05-17,ACH,490973.96,GBP,2026-05-18,1,Mcguire Inc,ACC006,in_transit
INF00143,2026-05-16,ACH,427644.67,KZT,2026-05-18,1,"Padilla, Cunningham and Benson",ACC005,in_transit
INF00150,2026-05-15,SWIFT,312389.59,GBP,2026-05-18,2,"Davis, Lopez and Hawkins",ACC015,in_transit
INF00154,2026-05-17,ACH,367560.79,KZT,2026-05-18,1,Miller-Lam,ACC003,in_transit
INF00155,2026-05-15,ACH,241380.06,USD,2026-05-18,1,Phillips-Carter,ACC003,delayed
INF00156,2026-05-16,SWIFT,28703.78,KZT,2026-05-18,2,Lopez-Wheeler,ACC017,delayed
INF00157,2026-05-16,INSTANT,289630.68,GBP,2026-05-18,0,Butler-Harris,ACC006,delayed
INF00162,2026-05-15,ACH,374860.63,KZT,2026-05-18,1,Wallace and Sons,ACC013,delayed
INF00163,2026-05-14,CARD_CLEARING,272658.76,USD,2026-05-18,4,Blankenship Ltd,ACC004,in_transit
INF00165,2026-05-17,ACH,28662.63,GBP,2026-05-18,1,"Herring, Garza and Yoder",ACC007,delayed
INF00168,2026-05-12,CARD_CLEARING,148953.68,EUR,2026-05-18,4,Hernandez-Morse,ACC005,in_transit
INF00120,2026-05-15,SEPA,117885.14,EUR,2026-05-18,1,"Villanueva, Merritt and Richards",ACC002,delayed
INF00118,2026-05-16,INSTANT,415574.26,EUR,2026-05-18,0,Clark-Stanton,ACC014,arrived
INF00129,2026-05-14,CARD_CLEARING,182248.9,GBP,2026-05-18,4,Wong Group,ACC002,in_transit
INF00103,2026-05-17,ACH,395958.71,GBP,2026-05-18,1,Gentry Group,ACC014,in_transit
INF00113,2026-05-16,ACH,456672.33,EUR,2026-05-18,1,"Gilbert, Vargas and Moreno",ACC019,delayed
INF00114,2026-05-16,SWIFT,27070.07,GBP,2026-05-18,2,Frederick-Farley,ACC008,in_transit
INF00108,2026-05-17,ACH,183731.75,USD,2026-05-18,1,Mccoy-Delacruz,ACC005,in_transit
